station_nm,line_id,geo_lat,geo_lon,st_dist_from_center
Стрешнево,D2,55.81521,37.490003,10.547047893080261
Фрунзенская,1,55.727462,37.58022,3.5391368745146257
Фрунзенская,2,59.906273,30.31745,633.3862559003635
Крымская,14,55.690038,37.605,6.954873270293651
Жулебино,7,55.684722,37.855833,16.866762235140015
Калужская,6,55.656682,37.540075,11.64746603845733
Кузнецкий мост,7,55.761498,37.624423,1.1733311257083534
Чкаловская,10,55.755951,37.659293,2.7771665592603285
Чкаловская,1,56.310637,43.936933,398.81486093426537
Чкаловская,1,56.808502,60.610698,1422.4044331446705
Чкаловская,5,59.961033,30.292006,638.6394153394316
Бибирево,9,55.883868,37.603011,14.678586642304646
Пушкинская,7,55.765607,37.604356,1.6481130860507502
Пушкинская,1,59.92065,30.329599,634.0042717466301
Деловой центр,11,55.749025,37.539904,4.764036707239112
Деловой центр,14,55.747222,37.532222,5.262743051358172
Деловой центр,81,55.749408,37.537624,4.903887962877096
Окружная,10,55.844748,37.575531,10.603381002935691
Окружная,14,55.848889,37.571111,11.118076582070765
Окружная,D1,55.847538,37.574489,10.920640309068249
Пятницкое шоссе,3,55.853634,37.353108,19.95916993165275
Багратионовская,4,55.743544,37.497042,7.505154421976973
Бауманская,3,55.772405,37.67904,4.574989476857117
Сокольники,1,55.789282,37.679895,5.773275096512972
Щукинская,7,55.8094,37.463241,11.483555856570984
Охотный ряд,1,55.757228,37.615078,0.5583982109370974
Беломорская,2,55.865369,37.475692,15.349726690971238
Дмитровская,9,55.808056,37.581734,6.568995086505359
Дмитровская,D2,55.807951,37.578478,6.62687592832611
Дмитровская,10,55.71807,37.676259,5.384762224611315
Дмитровская,10,55.676596,37.761639,12.457493430450112
Дмитровская,10,55.844748,37.575531,10.603381002935691
Дмитровская,10,55.836667,37.575556,9.731227457763586
Серпуховская,9,55.726548,37.624792,2.9164754259280286
Ясенево,6,55.606182,37.5334,17.061018334080405
Новокузнецкая,2,55.742391,37.62928,1.392813943160504
Румянцево,1,55.633,37.4419,17.18875098316217
Алексеевская,6,55.807794,37.638699,6.355549745650391
Народное Ополчение,11,55.775697,37.485071,8.598068206812293
Измайлово,14,55.788611,37.742778,8.953656336340762
Измайловская,3,55.787713,37.779896,11.04529638975128
Саларьево,1,55.6227,37.424,18.791039208703832
Достоевская,10,55.781667,37.613889,3.2802351464391846
Достоевская,4,59.928234,30.346029,633.9289164012118
Улица Дмитриевского,15,55.710311,37.879045,17.198489708381523
Алма-Атинская,2,55.63349,37.765678,16.243829575275463
Воробьёвы горы,1,55.709169,37.557293,6.031169409605604
Хорошёво,14,55.777222,37.507222,7.348181162461086
Давыдково,11,55.71517,37.45177,11.085533591509186
Беляево,6,55.642357,37.526115,13.462828940238099
Кантемировская,2,55.636107,37.656218,13.17799361980137
Ольховая,1,55.56898,37.459047,22.654845305534494
Студенческая,4,55.738761,37.54842,4.474891682396568
Студенческая,1,54.989089,82.906631,2821.33913453331
Полежаевская,7,55.777201,37.517895,6.731976267286881
Арбатская,3,55.752312,37.60349,0.7579601193374809
Арбатская,4,55.752122,37.601553,0.8795874525149098
Битцевский парк,12,55.600066,37.556058,17.348895865821284
Коломенская,2,55.677423,37.663719,8.860675746557595
